sep=;
input_arg;real_time;user_time;sys_time
100000000;2.292;5.797;2.430
150000000;4.259;11.060;5.813
200000000;6.460;21.569;4.074
250000000;8.479;25.742;7.356
300000000;10.565;30.799;10.715
350000000;12.550;38.196;11.460
400000000;14.612;47.610;10.299
450000000;16.658;51.911;13.990
500000000;19.285;61.560;15.077
