sep=;
input_arg;real_time;user_time;sys_time
10000000;1.995;.531;.691
20000000;3.990;2.665;1.404
30000000;4.242;5.043;2.412
40000000;7.945;8.424;1.627
50000000;9.387;10.232;1.344
60000000;11.952;13.007;1.750
70000000;11.673;17.938;3.845
80000000;18.723;21.746;2.824
90000000;26.929;21.675;3.097
100000000;18.693;35.591;1.704
