sep=;
input_arg;real_time;user_time;sys_time
10000000;2.800;2.748;.038
20000000;5.254;5.187;.056
30000000;7.971;7.813;.072
40000000;10.847;10.730;.115
50000000;13.503;13.324;.154
60000000;16.625;16.465;.146
70000000;20.378;20.202;.158
80000000;24.732;24.508;.214
90000000;28.726;28.505;.211
100000000;32.949;32.669;.252
