sep=;
input_arg;real_time;user_time;sys_time
100000000;2.937;7.254;4.435
150000000;5.207;16.789;3.942
200000000;7.677;21.486;9.091
250000000;10.031;24.393;15.682
300000000;12.624;20.650;14.751
350000000;14.503;37.815;20.169
400000000;17.052;24.770;43.351
450000000;19.444;48.301;29.276
500000000;25.173;46.408;31.953
