sep=;
input_arg;real_time;user_time;sys_time
100000000;5.801;4.616;18.466
150000000;9.831;29.896;9.344
200000000;13.890;39.659;15.558
250000000;17.862;33.780;37.534
300000000;21.782;53.781;33.097
350000000;25.458;80.433;20.947
400000000;29.344;60.788;56.445
450000000;33.414;89.368;44.090
500000000;37.889;122.347;28.539
