sep=;
input_arg;real_time;user_time;sys_time
100000000;4.661;14.569;.548
150000000;8.551;18.001;8.054
200000000;11.824;36.412;1.239
250000000;14.578;40.600;8.353
300000000;17.241;52.199;7.597
350000000;20.258;52.643;18.662
400000000;23.063;73.168;9.740
450000000;26.131;82.107;12.004
500000000;28.927;84.018;21.787
