sep=;
input_arg;real_time;user_time;sys_time
100000000;3.583;3.172;11.105
150000000;6.413;18.415;7.114
200000000;9.163;20.322;16.259
250000000;12.087;34.143;13.969
300000000;14.843;13.177;46.122
350000000;17.732;37.404;15.750
400000000;20.551;60.761;21.307
450000000;23.453;37.469;56.204
500000000;27.006;63.484;44.441
