sep=;
input_arg;real_time;user_time;sys_time
100000000;4.452;11.088;3.532
150000000;8.481;22.628;2.803
200000000;11.182;22.425;13.705
250000000;14.484;36.662;9.681
300000000;17.259;45.293;14.284
350000000;20.331;59.355;12.379
400000000;23.050;69.674;13.225
450000000;25.924;79.468;14.718
500000000;28.961;96.609;9.681
